timestamp,filename,maze_size,seed,algorithm,generation_time_ms,ram_peak_mb,file_size_bytes,backtrack_count,edges_processed,union_find_operations
2025-09-16 19:01:40,kruskal_strict_10_79.txt,10,79,kruskal,0.82,18.01,483,0,180,571
2025-09-16 19:01:40,kruskal_strict_10_80.txt,10,80,kruskal,0.82,18.01,483,0,180,568
2025-09-16 19:01:40,kruskal_strict_10_81.txt,10,81,kruskal,1.7,18.01,483,0,180,548
2025-09-16 19:01:40,kruskal_strict_10_82.txt,10,82,kruskal,0.94,18.01,483,0,180,562
2025-09-16 19:01:40,kruskal_strict_10_83.txt,10,83,kruskal,1.26,18.01,483,0,180,655
2025-09-16 19:01:40,kruskal_strict_10_84.txt,10,84,kruskal,1.63,18.01,483,0,180,637
2025-09-16 19:01:40,kruskal_strict_10_85.txt,10,85,kruskal,1.36,18.01,483,0,180,529
2025-09-16 19:01:40,kruskal_strict_10_86.txt,10,86,kruskal,1.47,18.01,483,0,180,637
2025-09-16 19:01:40,kruskal_strict_10_87.txt,10,87,kruskal,1.26,18.01,483,0,180,551
2025-09-16 19:01:40,kruskal_strict_10_88.txt,10,88,kruskal,1.03,18.01,483,0,180,569
2025-09-16 19:01:40,kruskal_strict_10_89.txt,10,89,kruskal,2.37,18.01,483,0,180,685
2025-09-16 19:01:40,kruskal_strict_10_90.txt,10,90,kruskal,1.07,18.01,483,0,180,503
2025-09-16 19:01:40,kruskal_strict_10_91.txt,10,91,kruskal,1.88,18.01,483,0,180,636
2025-09-16 19:01:40,kruskal_strict_10_92.txt,10,92,kruskal,1.32,18.01,483,0,180,576
2025-09-16 19:01:40,kruskal_strict_10_93.txt,10,93,kruskal,1.11,18.01,483,0,180,656
2025-09-16 19:01:40,kruskal_strict_10_94.txt,10,94,kruskal,0.89,18.01,483,0,180,626
2025-09-16 19:01:40,kruskal_strict_10_95.txt,10,95,kruskal,1.12,18.01,483,0,180,593
